"SERIEM","FECHA","CASO","NSERVI","PESPS","EDADPS","CODP","EDADPP","SERIEH","PESOIH","DIAPR","NCELOS","EDADPC","FECPO","FECFO","PROLT","PROM","DIALAC","DIAORD","DIAOP","DIAPFO","DIAELA","PRODOP","PRODPFO","FECAS","DIAFOAS","IPARPC","IPARPS","IPARCON","IENTPAR","PENTSER","ISERV","IENTCEL","ACUMN","ACUIA","IEE","SW"
"25290","","SUMATORIAS","0","0","","","","","","0","0","","","","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","A"
"25290","","PROMEDIOS","0","0","","","","","29","0","0","","","","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","B"
"    13","1994-09-05 00:00:00","PARTO","0","0","","","","  5261","30","0","0","","","","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0",""
"    13","1996-06-18 00:00:00","PARTO","0","0","","","","  6087","30","0","0","","","","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","652",""
"    13","","SUMATORIAS","0","0","","","","","","0","0","","","","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","A"
"    13","","PROMEDIOS","0","0","","","","","30","0","0","","","","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","326","B"
"          01","2000-08-07 00:00:00","ABORTO","1","0","05-12","","","","","236","0","","","","0","0","0","0","0","0","0","0","0","2000-08-11 00:00:00","0","0","0","0","0","0","0","0","0","1","0",""
"25204","2009-09-18 00:00:00","PARTO","1","0","02-11","H326","","29267","29","0","0","","","","0","0","0","0","0","0","0","0","0","2009-03-08 00:00:00","0","0","0","0","0","0","0","0","0","1","0",""
"25204","","SUMATORIAS","1","0","","","","","","0","0","","","","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","1","0","A"
"25204","","PROMEDIOS","1","0","","","","","29","0","0","","","","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","1","0","B"
"25290","2009-03-16 00:00:00","PARTO","0","0","","VQPS3188","","29026","29","0","0","","","","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0",""
"    16","1998-05-01 00:00:00","PARTO","0","0","","  S-38","","B16","0","0","0","","","","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0",""
"          01","","SUMATORIAS","1","","","","","","","0","0","","","","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","1","0","A"
"          01","","PROMEDIOS","1","0","","","","","","236","0","","","","0","0","0","0","0","0","0","0","0","","0","0","0","0","","0","0","0","0","1","0","B"
"    16","","SUMATORIAS","0","0","","","","","","0","0","","","","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","A"
"    16","","PROMEDIOS","0","0","","","","","0","0","0","","","","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","B"
"          02","2000-12-25 00:00:00","PARTO","0","0","","","","h02","25","0","1","05-04-24","","","0","0","0","0","0","0","0","0","0","2000-11-23 00:00:00","0","0","0","0","0","0","0","0","0","0","0",""
"          02","","SUMATORIAS","0","0","","","","","","0","1","","","","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","A"
"          02","","PROMEDIOS","0","0","","","","","25","0","1","","","","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","B"
