"TipoGrafico","Descripcion","Comentario","Categoria","Identificador"
"0","Invent de Ganado por Tipología","Se Gráfica el número de animales en la finca según las tipologías.","2","1"
"0","Registro de Pesos","Este Gráfico emite los diferentes pesos registrados para un animal.","1","2"
"0","GDP Registrado","Este Gráfico emite los GDP registrados para un animal.","1","3"
"0","Producción de Leche","Se visualiza el comportamiento en el tiempo de un animal en ordeño.","4","4"
"0","Invent. por Lote Estratégico","Indica el número de animales por Lote Estratégico.","2","5"
"0","Invent. por Lote de Nacimiento","Indica el número de animales nacidos en cada lote de nacimiento.","2","6"
"0","Invent. por Lote de Pastoreo","Determina el número de animales en cada lote de pastoreo.","2","7"
"0","Invent. Lote Temporada de Monta","Indica el número de animales en cada lote de temporada de monta.","2","8"
"0","Invent. por Lote de Producción","Indica el número de animales por cada lote de producción.","2","9"
"0","Invent. por Condición Corporal","Clasifica los animales por su condición corporal.","2","10"
"0","Invent. por Raza","Se gráfica el número de animales según su raza.","2","11"
"0","Invent. por Sexo","Indica el número de animales según su sexo.","2","12"
"0","Pesos Ajustados","Se indica la curva del peso ajustado de uno o varios animales.","1","13"
"0","Valores Relativos","Se indica el peso ajustado de uno o varios animales según su valor relativo.","1","14"
