"SERIE","NCICLO","TIPO","EDAD","NSERVI","TIPOPS","PESPS","FECPS","EDADPS","FECSPR","CODTP","RESPI","FECUP","FECPAR","SEXO","SEXO1","BECER","BECER1","OBSPAR","EDOBEC","EDOBEC1","RAZABE","RAZABE1","PESOIB","PESOIB1","DIAPR","NCELOS","FECPC","EDADPC","FECUC","FECPO","FECFO","PROLT","PROM","DIALAC","DIAORD","DIAOP","DIAPFO","DIAELA","FECAS","DIAFOAS","IPARPC","IPARPS","IPARCON","IENTPAR","PENTSER","ISERV","IENTCEL","COD","CODPS","MARCABEC1","MARCABEC2","CAUSAnm","OBSERnm","OBSERBEC","OBSERBEC1","CODP","RAZAPADRE","TIPOPADRE","NOMBREPADRE","FECHANACPADRE","ESPAJUELA","pesoDestete_B","PA1_B","PA2_B","PA3_B","PA4_B","NABO","FEC1ABO","EDAD1ABO","FECUABO","CAUSASABO","OBSERABO","pesoDestete_B1","PA1_B1","PA2_B1","PA3_B1","PA4_B1","Traspasada"
"113","10","","06-09","0","","0","","","","62","","","1990-04-07 00:00:00","MACHO","","05","","","","","","","31","0","","0","","","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","62","","","","","True","0","195.17","0","319.1","0","0","","__-__","","","","0","0","0","0","0","True"
"113","10","","07-11","0","","0","","","","123","","","1991-05-17 00:00:00","MACHO","","03","","","","","","","32","0","","0","","","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","123","","","","","True","0","181.02","0","318.1","0","0","","__-__","","","","0","0","0","0","0","False"
"113","10","","09-03","0","","0","","","","4008","","","1992-10-04 00:00:00","MACHO","","39","","","","","","","32","0","","0","","","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","4008","","","","","True","0","188.45","0","304.4","0","0","","__-__","","","","0","0","0","0","0","False"
"113","10","","10-03","0","","0","","","","16/2","","","1993-09-24 00:00:00","HEMBRA","","49","","","","","","","28","0","","0","","","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","16/2","","","","","True","0","159.4","0","234.5","0","0","","__-__","","","","0","0","0","0","0","False"
"113","6","","11-03","0","","0","","","","902","","","1994-09-10 00:00:00","HEMBRA","","24","","","","","","","34","0","","0","","","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","902","","","","","True","0","173.6","0","292.7","0","0","","__-__","","","","0","0","0","0","0","False"
"113","7","","12-04","0","","0","","","","1035","","","1995-10-24 00:00:00","HEMBRA","","59","","","","","","","29","0","","0","","","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","1035","","","","","True","0","171","0","248","0","0","","__-__","","","","0","0","0","0","0","False"
"012345678901","6","","00-08","0","","0","","","","93627M","","","1992-01-01 00:00:00","MACHO","HEMBRA","15/532","b430","","","CONDICION 3","BRAHMAN","","35","","","0","","","","1992-01-01 00:00:00","1992-09-01 00:00:00","2500","10.2459016393443","244","244","","","","","","","","","","","","","","","","","","","","","93627M","","","","","False","0","0","0","0","0","0","","__-__","","","","0","0","0","0","0","False"
"012345678901","5","","01-08","0","","0","","","","5/89","","","1993-01-01 00:00:00","MACHO","","123/8","","","","","PURO","","25","0","","0","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","5/89","","","","","False","0","34","0","0","0","0","","__-__","","","","0","0","0","0","0","True"
"012345678901","10","","02-08","0","","0","","","","","","","1994-01-01 00:00:00","MACHO","","1/2","","","CONDICION 5","","MESTIZO CARORA","","34","0","","0","","","","1994-03-01 00:00:00","1994-06-30 00:00:00","1500","12.396694214876","121","121","","","","","","","","","","","","","","","","","","","","","","","","","","False","0","0","0","0","0","0","","__-__","","","","0","0","0","0","0","False"
"012345678901","10","","00-08","0","","0","","","","93627M","","","1992-01-01 00:00:00","MACHO","HEMBRA","15/532","b430","","","CONDICION 3","BRAHMAN","NO REGISTRADO","35","","","0","","","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","93627M","","","","","False","0","0","0","0","0","0","","__-__","","","","0","0","0","0","0","False"
"113","1","","05-05","0","","0","","","","","","","1988-12-01 00:00:00","HEMBRA","","07","","","","","","","25","0","","0","","","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","False","0","175","0","265.1","0","0","","__-__","","","","0","0","0","0","0","True"
"113","8","","13-05","0","","0","","","","208/8","","","1996-12-07 00:00:00","HEMBRA","","136","","","","","","","36","0","","0","","","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","208/8","","","","","True","0","162.6","0","244.4","0","0","","__-__","","","","0","0","0","0","0","False"
"3806","1","","03-06","0","","0","","","","001","","","1997-01-01 00:00:00","HEMBRA","","b/3806","","","CONDICION 1","","MESTIZO BRAHMAN","","25","0","","0","","","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","001","","","","","False","0","0","250","0","0","0","","__-__","","","","0","0","0","0","0","True"
"     9","2","","03-11","0","","0","","","","0581","","","1996-05-29 00:00:00","MACHO","","b/999","","","CONDICION 1","","CAMPOLARGO 2","","0","0","","0","","","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0581","","","","","False","0","0","0","0","0","0","","__-__","","","","0","0","0","0","0","True"
