"LOTE","CICLO","FECINIREA","FECFINREA","AÑO1","AÑO2"
"LOTE 1","CICLO 1","1999-01-01 00:00:00","","1999-01-01 00:00:00","1999-01-01 00:00:00"
"lote 2","CICLO 1","","","1998-01-01 00:00:00","1998-01-01 00:00:00"
"c-21tal","CICLO 1","2001-01-01 00:00:00","","2001-01-01 00:00:00","2001-01-01 00:00:00"
"lote1","prueba","2009-05-01 00:00:00","","2009-01-01 00:00:00","2009-01-01 00:00:00"
"LOTE 1 - 2011","JULY","2011-09-10 00:00:00","2011-12-10 00:00:00","2011-01-01 00:00:00","2011-01-01 00:00:00"
"CORRAL1 ","CUARTA TEMPORADA","","","2013-01-01 00:00:00","2013-01-01 00:00:00"
"LOTE CINCO","prueba","","","2015-01-01 00:00:00","2015-01-01 00:00:00"
"LOTE TRES","SEXTA TEMPORADA","2015-05-01 00:00:00","","2015-01-01 00:00:00","2015-01-01 00:00:00"
"PRIMER LOTE ","NOVENA TEMPORADA ","2014-03-01 00:00:00","","2014-01-01 00:00:00","2014-01-01 00:00:00"
"SEGUNDO LOTE","NOVENA TEMPORADA ","2014-03-01 00:00:00","","2014-01-01 00:00:00","2014-01-01 00:00:00"
"YOA","YOA PRUEBA ","2018-05-01 00:00:00","2018-08-01 00:00:00","2018-01-01 00:00:00","2018-01-01 00:00:00"
"YOAA","LISTO","2018-03-01 00:00:00","2018-06-01 00:00:00","2018-01-01 00:00:00","2018-01-01 00:00:00"
"YOAV","YOAA","2018-01-01 00:00:00","2018-05-01 00:00:00","2018-01-01 00:00:00","2018-01-01 00:00:00"
"VICMA ","NUEVO ","2018-06-01 00:00:00","2018-08-01 00:00:00","2018-01-01 00:00:00","2018-01-01 00:00:00"
"MAXIMO","MINIMO","","","2018-01-01 00:00:00","2018-01-01 00:00:00"
