"Peso","L075","L050","L025","L000","Lactante","Preñada","Toro"
"150","0.75","0.67","0.57","0.44","0","0","0"
"155","0.76","0.69","0.59","0.45","0","0","0"
"160","0.8","0.71","0.6","0.46","0","0","0"
"165","0.83","0.73","0.62","0.48","0","0","0"
"170","0.87","0.75","0.63","0.49","0","0","0"
"175","0.9","0.77","0.65","0.5","0","0","0"
"180","0.93","0.79","0.67","0.51","0","0","0"
"185","0.95","0.82","0.69","0.52","0","0","0"
"190","0.98","0.84","0.71","0.52","0","0","0"
"195","1","0.87","0.73","0.53","0","0","0"
"200","1.03","0.89","0.75","0.54","0","0","0"
"205","1.06","0.91","0.76","0.55","0","0","0"
"210","1.09","0.93","0.77","0.56","0","0","0"
"215","1.12","0.95","0.78","0.58","0","0","0"
"220","1.15","0.97","0.8","0.59","0","0","0"
"225","1.18","0.99","0.81","0.6","0","0","0"
"230","1.2","1.01","0.82","0.61","0","0","0"
"235","1.23","1.03","0.84","0.62","0","0","0"
"240","1.25","1.06","0.85","0.63","0","0","0"
"245","1.28","1.08","0.87","0.64","0","0","0"
"250","1.3","1.1","0.88","0.65","0","0","0"
"255","1.32","1.12","0.89","0.66","0","0","0"
"260","1.34","1.14","0.91","0.67","0","0","0"
"265","1.36","1.16","0.92","0.68","0","0","0"
"270","1.38","1.18","0.94","0.69","0","0","0"
"275","1.4","1.2","0.95","0.7","0","0","0"
"280","1.42","1.22","0.96","0.71","0","0","0"
"285","1.44","1.24","0.97","0.72","0","0","0"
"290","1.46","1.26","0.99","0.72","0","0","0"
"295","1.48","1.28","1","0.73","","0","0"
"300","1.5","1.3","1.01","0.74","0","0","1.62"
"305","1.52","1.32","1.02","0.75","0","0","1.63"
"310","1.54","1.33","1.03","0.76","0","0","1.64"
"315","1.56","1.35","1.05","0.77","0","0","1.66"
"320","1.58","1.36","1.06","0.78","0","0","1.67"
"325","1.6","1.38","1.07","0.79","0","0","1.68"
"330","1.62","1.4","1.09","0.8","0","0","1.69"
"335","1.64","1.42","1.1","0.81","0","0","1.71"
"340","1.66","1.44","1.12","0.82","0","0","1.72"
"345","1.68","1.46","1.13","0.83","0","0","1.74"
"350","1.7","1.48","1.15","0.84","1.4","0.86","1.75"
"355","1.72","1.5","1.16","0.85","1.41","0.87","1.76"
"360","1.74","1.52","1.17","0.85","1.43","0.88","1.78"
"365","1.76","1.54","1.19","0.86","1.44","0.88","1.79"
"370","1.78","1.56","1.2","0.86","1.46","0.89","1.81"
"375","1.8","1.58","1.21","0.87","1.47","0.9","1.82"
"380","1.81","1.59","1.22","0.88","1.48","0.91","1.83"
"385","1.82","1.6","1.23","0.89","1.49","0.92","1.84"
"390","1.84","1.61","1.24","0.89","1.51","0.93","1.85"
"395","1.85","1.62","1.25","0.9","1.52","0.94","1.86"
"400","1.86","1.63","1.26","0.91","1.53","0.95","1.87"
"405","0","0","0","0","1.54","0.95","1.88"
"410","0","0","0","0","1.55","0.98","1.89"
"415","0","0","0","0","1.55","0.96","1.9"
"420","0","0","0","0","1.56","0.97","1.91"
"425","0","0","0","0","1.57","0.97","1.92"
"430","0","0","0","0","1.58","0.97","1.93"
"435","0","0","0","0","1.59","0.97","1.94"
"440","0","0","0","0","1.6","0.98","1.95"
"445","0","0","0","0","1.61","0.98","1.96"
"450","0","0","0","0","1.62","0.98","1.97"
"455","0","0","0","0","1.63","0.99","1.98"
"460","0","0","0","0","1.64","1","1.98"
"465","0","0","0","0","1.65","1.02","1.99"
"470","0","0","0","0","1.66","1.03","1.99"
"475","0","0","0","0","1.67","1.04","2"
"480","0","0","0","0","1.68","1.05","2.01"
"485","0","0","0","0","1.69","1.06","2.02"
"490","0","0","0","0","1.69","1.06","2.03"
"495","0","0","0","0","1.7","1.07","2.04"
"500","0","0","0","0","1.71","1.08","2.05"
"505","0","0","0","0","1.72","1.08","2.05"
"510","0","0","0","0","1.73","1.09","2.05"
"515","0","0","0","0","1.73","1.09","2.05"
"520","0","0","0","0","1.74","1.01","2.05"
"525","0","0","0","0","1.75","1.1","2.05"
"530","0","0","0","0","0","1.11","2.05"
"535","0","0","0","0","0","1.12","2.05"
"540","0","0","0","0","0","1.12","2.06"
"545","0","0","0","0","0","1.13","2.06"
"550","0","0","0","0","0","1.14","2.06"
"555","0","0","0","0","0","1.15","2.06"
"560","0","0","0","0","0","1.16","2.06"
"565","0","0","0","0","0","1.17","2.06"
"570","0","0","0","0","0","1.19","2.06"
"575","0","0","0","0","0","1.2","2.06"
"580","0","0","0","0","0","1.21","2.06"
"585","0","0","0","0","0","1.21","2.06"
"590","0","0","0","0","0","1.22","2.05"
"595","0","0","0","0","0","1.22","2.05"
"600","0","0","0","0","0","1.23","2.05"
"625","0","0","0","0","0","0","2.05"
"650","0","0","0","0","0","0","2.03"
"675","0","0","0","0","0","0","2.02"
"700","0","0","0","0","0","0","2"
"725","0","0","0","0","0","0","1.98"
"750","0","0","0","0","0","0","1.95"
"775","0","0","0","0","0","0","1.91"
"800","0","0","0","0","0","0","1.88"
"825","0","0","0","0","0","0","1.85"
"850","0","0","0","0","0","0","1.81"
"875","0","0","0","0","0","0","1.76"
"900","0","0","0","0","0","0","1.7"
